season,matchweek,home_club,away_club,final_score,goal_club,goal_score,goal_scorer,minute
1992-1993,1,Arsenal,Norwich,2:4,home,1:0,Steve Bould,28
1992-1993,1,Arsenal,Norwich,2:4,home,2:0,Kevin Campbell,39
1992-1993,1,Arsenal,Norwich,2:4,away,2:1,Mark Robins,69
1992-1993,1,Arsenal,Norwich,2:4,away,2:2,David Phillips,72
1992-1993,1,Arsenal,Norwich,2:4,away,2:3,Ruel Fox,82
1992-1993,1,Arsenal,Norwich,2:4,away,2:4,Mark Robins,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,home,1:0,Mick Harford,84
1992-1993,1,Chelsea,Oldham Athletic,1:1,away,1:1,Nick Henry,86
1992-1993,1,Coventry,Middlesbrough,2:1,home,1:0,John Williams,9
1992-1993,1,Coventry,Middlesbrough,2:1,home,2:0,David Smith,51
1992-1993,1,Coventry,Middlesbrough,2:1,away,2:1,Paul Wilkinson,63
1992-1993,1,Crystal Palace,Blackburn,3:3,home,1:0,Mark Bright,37
1992-1993,1,Crystal Palace,Blackburn,3:3,away,1:1,Stuart Ripley,42
1992-1993,1,Crystal Palace,Blackburn,3:3,home,2:1,Gareth Southgate,63
1992-1993,1,Crystal Palace,Blackburn,3:3,away,2:2,Alan Shearer,66
1992-1993,1,Crystal Palace,Blackburn,3:3,away,2:3,Alan Shearer,81
1992-1993,1,Crystal Palace,Blackburn,3:3,home,3:3,Simon Osborn,90
1992-1993,1,Everton,Sheff Wed,1:1,away,0:1,Nigel Pearson,15
1992-1993,1,Everton,Sheff Wed,1:1,home,1:1,Barry Horne,44
1992-1993,1,Ipswich,Aston Villa,1:1,home,1:0,Gavin Johnson,31
1992-1993,1,Ipswich,Aston Villa,1:1,away,1:1,Dalian Atkinson,84
1992-1993,1,Leeds,Wimbledon FC,2:1,home,1:0,Lee Chapman,14
1992-1993,1,Leeds,Wimbledon FC,2:1,away,1:1,Warren Barton,76
1992-1993,1,Leeds,Wimbledon FC,2:1,home,2:1,Lee Chapman,86
1992-1993,1,Sheff Utd,Man Utd,2:1,home,1:0,Brian Deane,5
1992-1993,1,Sheff Utd,Man Utd,2:1,home,2:0,Brian Deane,50
1992-1993,1,Sheff Utd,Man Utd,2:1,away,2:1,Mark Hughes,61
1992-1993,1,Nottm Forest,Liverpool,1:0,home,1:0,Teddy Sheringham,29
1992-1993,1,Man City,QPR,1:1,home,1:0,David White,37
1992-1993,1,Man City,QPR,1:1,away,1:1,Andy Sinton,47
1992-1993,2,Blackburn,Arsenal,1:0,home,1:0,Alan Shearer,84
1992-1993,2,Wimbledon FC,Ipswich,0:1,away,0:1,Gavin Johnson,37
1992-1993,2,Aston Villa,Leeds,1:1,home,1:0,Dalian Atkinson,77
1992-1993,2,Aston Villa,Leeds,1:1,away,1:1,Gary Speed,84
1992-1993,2,Liverpool,Sheff Utd,2:1,away,0:1,Brian Deane,35
1992-1993,2,Liverpool,Sheff Utd,2:1,home,1:1,Mark Walters,43
1992-1993,2,Liverpool,Sheff Utd,2:1,home,2:1,Paul Stewart,65
1992-1993,2,Man Utd,Everton,0:3,away,0:1,Peter Beardsley,45
1992-1993,2,Man Utd,Everton,0:3,away,0:2,Robert Warzycha,80
1992-1993,2,Man Utd,Everton,0:3,away,0:3,Mo Johnston,90
1992-1993,2,Middlesbrough,Man City,2:0,home,1:0,Bernie Slaven,15
1992-1993,2,Middlesbrough,Man City,2:0,home,2:0,Bernie Slaven,17
1992-1993,2,Norwich,Chelsea,2:1,away,0:1,Graham Stuart,15
1992-1993,2,Norwich,Chelsea,2:1,home,1:1,David Phillips,57
1992-1993,2,Norwich,Chelsea,2:1,home,2:1,Mark Robins,59
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,home,1:0,Graeme Sharp,16
1992-1993,2,Oldham Athletic,Crystal Palace,1:1,away,1:1,Eddie McGoldrick,50
1992-1993,2,QPR,Southampton,3:1,away,0:1,Matt Le Tissier,31
1992-1993,2,QPR,Southampton,3:1,home,1:1,Les Ferdinand,58
1992-1993,2,QPR,Southampton,3:1,home,2:1,David Bardsley,70
1992-1993,2,QPR,Southampton,3:1,home,3:1,Les Ferdinand,86
1992-1993,2,Sheff Wed,Nottm Forest,2:0,home,1:0,David Hirst,16
1992-1993,2,Sheff Wed,Nottm Forest,2:0,home,2:0,David Hirst,78
1992-1993,2,Spurs,Coventry,0:2,away,0:1,John Williams,4
1992-1993,2,Spurs,Coventry,0:2,away,0:2,John Williams,29
1992-1993,3,Aston Villa,Southampton,1:1,home,1:0,Dalian Atkinson,64
1992-1993,3,Aston Villa,Southampton,1:1,away,1:1,Micky Adams,79
1992-1993,3,Blackburn,Man City,1:0,home,1:0,Mike Newell,69
1992-1993,3,Man Utd,Ipswich,1:1,away,0:1,Chris Kiwomya,56
1992-1993,3,Man Utd,Ipswich,1:1,home,1:1,Denis Irwin,57
1992-1993,3,Middlesbrough,Leeds,4:1,home,1:0,Paul Wilkinson,7
1992-1993,3,Middlesbrough,Leeds,4:1,home,2:0,Paul Wilkinson,8
1992-1993,3,Middlesbrough,Leeds,4:1,home,3:0,Tommy Wright,47
1992-1993,3,Middlesbrough,Leeds,4:1,home,4:0,John Hendrie,59
1992-1993,3,Middlesbrough,Leeds,4:1,away,4:1,Eric Cantona,68
1992-1993,3,Norwich,Everton,1:1,away,0:1,Peter Beardsley,55
1992-1993,3,Norwich,Everton,1:1,home,1:1,Ruel Fox,67
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,1:0,Neil Adams,31
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,2:0,Graeme Sharp,38
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,3:0,Nick Henry,44
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,4:0,Gunnar Halle,46
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,home,5:0,Paul Bernard,59
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,away,5:1,Stuart Pearce,66
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,away,5:2,Gary Bannister,86
1992-1993,3,Oldham Athletic,Nottm Forest,5:3,away,5:3,Gary Bannister,88
1992-1993,3,QPR,Sheff Utd,3:2,home,1:0,Les Ferdinand,3
1992-1993,3,QPR,Sheff Utd,3:2,away,1:1,Alan Cork,4
1992-1993,3,QPR,Sheff Utd,3:2,home,2:1,Simon Barker,14
1992-1993,3,QPR,Sheff Utd,3:2,away,2:2,Brian Deane,63
1992-1993,3,QPR,Sheff Utd,3:2,home,3:2,Dennis Bailey,84
1992-1993,3,Sheff Wed,Chelsea,3:3,home,1:0,David Hirst,27
1992-1993,3,Sheff Wed,Chelsea,3:3,home,2:0,David Hirst,37
1992-1993,3,Sheff Wed,Chelsea,3:3,away,2:1,Vinnie Jones,49
1992-1993,3,Sheff Wed,Chelsea,3:3,away,2:2,Graham Stuart,57
1992-1993,3,Sheff Wed,Chelsea,3:3,away,2:3,Eddie Newton,64
1992-1993,3,Sheff Wed,Chelsea,3:3,home,3:3,Danny Wilson,81
1992-1993,3,Spurs,Crystal Palace,2:2,home,1:0,Gordon Durie,16
1992-1993,3,Spurs,Crystal Palace,2:2,away,1:1,Eddie McGoldrick,21
1992-1993,3,Spurs,Crystal Palace,2:2,away,1:2,Eric Young,80
1992-1993,3,Spurs,Crystal Palace,2:2,home,2:2,Steve Sedgley,88
1992-1993,3,Wimbledon FC,Coventry,1:2,away,0:1,Micky Gynn,13
1992-1993,3,Wimbledon FC,Coventry,1:2,away,0:2,Robert Rosario,46
1992-1993,3,Wimbledon FC,Coventry,1:2,home,1:2,Dean Holdsworth,73
1992-1993,3,Liverpool,Arsenal,0:2,away,0:1,Anders Limpar,53
1992-1993,3,Liverpool,Arsenal,0:2,away,0:2,Ian Wright,80
1992-1993,4,Southampton,Man Utd,0:1,away,0:1,Dion Dublin,89
1992-1993,4,Crystal Palace,Sheff Wed,1:1,home,1:0,Eric Young,41
1992-1993,4,Crystal Palace,Sheff Wed,1:1,away,1:1,Paul Williams,66
1992-1993,4,Everton,Aston Villa,1:0,home,1:0,Mo Johnston,88
1992-1993,4,Ipswich,Liverpool,2:2,away,0:1,Mark Walters,39
1992-1993,4,Ipswich,Liverpool,2:2,home,1:1,Jason Dozzell,56
1992-1993,4,Ipswich,Liverpool,2:2,away,1:2,Jan Molby,70
1992-1993,4,Ipswich,Liverpool,2:2,home,2:2,Chris Kiwomya,90
1992-1993,4,Leeds,Spurs,5:0,home,1:0,Rod Wallace,19
